Date,anemia,crescimento progressivo das feridas,indisposicao,palidez,perda de peso
2011-04-17,31.0,0.0,0.0,2.0,1.0
2011-04-24,38.0,0.0,0.0,1.0,1.0
2011-05-01,44.0,0.0,0.0,1.0,4.0
2011-05-08,45.0,0.0,0.0,1.0,5.0
2011-05-15,39.0,0.0,0.0,1.0,5.0
2011-05-22,43.0,0.0,0.0,1.0,2.0
2011-05-29,50.0,0.0,0.0,1.0,3.0
2011-06-05,38.0,0.0,0.0,1.0,2.0
2011-06-12,33.0,0.0,0.0,1.0,5.0
2011-06-19,36.0,0.0,0.0,2.0,5.0
2011-06-26,46.0,0.0,0.0,1.0,3.0
2011-07-03,25.0,0.0,0.0,1.0,5.0
2011-07-10,32.0,0.0,0.0,1.0,5.0
2011-07-17,27.0,0.0,0.0,2.0,6.0
2011-07-24,37.0,0.0,0.0,2.0,3.0
2011-07-31,29.0,0.0,0.0,1.0,6.0
2011-08-07,44.0,0.0,0.0,1.0,4.0
2011-08-14,40.0,0.0,0.0,0.0,4.0
2011-08-21,35.0,0.0,0.0,0.0,5.0
2011-08-28,51.0,0.0,0.0,0.0,4.0
2011-09-04,38.0,0.0,0.0,0.0,4.0
2011-09-11,32.0,0.0,0.0,0.0,5.0
2011-09-18,34.0,0.0,0.0,1.0,5.0
2011-09-25,44.0,0.0,0.0,1.0,2.0
2011-10-02,47.0,0.0,0.0,1.0,4.0
2011-10-09,31.0,0.0,0.0,1.0,6.0
2011-10-16,45.0,0.0,0.0,1.0,3.0
2011-10-23,38.0,0.0,0.0,1.0,5.0
2011-10-30,40.0,0.0,0.0,1.0,9.0
2011-11-06,46.0,0.0,0.0,1.0,4.0
2011-11-13,48.0,0.0,0.0,1.0,2.0
2011-11-20,54.0,0.0,0.0,1.0,4.0
2011-11-27,38.0,0.0,1.0,1.0,3.0
2011-12-04,39.0,0.0,1.0,1.0,5.0
2011-12-11,40.0,0.0,1.0,1.0,6.0
2011-12-18,29.0,0.0,1.0,1.0,2.0
2011-12-25,30.0,0.0,1.0,1.0,3.0
2012-01-01,39.0,0.0,0.0,1.0,5.0
